ｂｂａａ,-1,-1,500.0,名詞,一般,*,*,*,*,ｂｂａａ,ッバアー,ッバアー,0/4,C0
ｂｂａｉ,-1,-1,500.0,名詞,一般,*,*,*,*,ｂｂａｉ,ッバイー,ッバイー,0/4,C0
ｂｂａｕ,-1,-1,500.0,名詞,一般,*,*,*,*,ｂｂａｕ,ッバウー,ッバウー,0/4,C0
ｂｂａｅ,-1,-1,500.0,名詞,一般,*,*,*,*,ｂｂａｅ,ッバエー,ッバエー,0/4,C0
ｂｂａｏ,-1,-1,500.0,名詞,一般,*,*,*,*,ｂｂａｏ,ッバオー,ッバオー,0/4,C0
ａｂｂａ,-1,-1,500.5,名詞,一般,*,*,*,*,ａｂｂａ,アッバー,アッバー,0/4,C0
ｉｂｂａ,-1,-1,500.5,名詞,一般,*,*,*,*,ｉｂｂａ,イッバー,イッバー,0/4,C0
ｕｂｂａ,-1,-1,500.5,名詞,一般,*,*,*,*,ｕｂｂａ,ウッバー,ウッバー,0/4,C0
ｅｂｂａ,-1,-1,500.5,名詞,一般,*,*,*,*,ｅｂｂａ,エッバー,エッバー,0/4,C0
ｏｂｂａ,-1,-1,500.5,名詞,一般,*,*,*,*,ｏｂｂａ,オッバー,オッバー,0/4,C0
ｂｂｉａ,-1,-1,501.0,名詞,一般,*,*,*,*,ｂｂｉａ,ッビアー,ッビアー,0/4,C0
ｂｂｉｉ,-1,-1,501.0,名詞,一般,*,*,*,*,ｂｂｉｉ,ッビイー,ッビイー,0/4,C0
ｂｂｉｕ,-1,-1,501.0,名詞,一般,*,*,*,*,ｂｂｉｕ,ッビウー,ッビウー,0/4,C0
ｂｂｉｅ,-1,-1,501.0,名詞,一般,*,*,*,*,ｂｂｉｅ,ッビエー,ッビエー,0/4,C0
ｂｂｉｏ,-1,-1,501.0,名詞,一般,*,*,*,*,ｂｂｉｏ,ッビオー,ッビオー,0/4,C0
ａｂｂｉ,-1,-1,501.5,名詞,一般,*,*,*,*,ａｂｂｉ,アッビー,アッビー,0/4,C0
ｉｂｂｉ,-1,-1,501.5,名詞,一般,*,*,*,*,ｉｂｂｉ,イッビー,イッビー,0/4,C0
ｕｂｂｉ,-1,-1,501.5,名詞,一般,*,*,*,*,ｕｂｂｉ,ウッビー,ウッビー,0/4,C0
ｅｂｂｉ,-1,-1,501.5,名詞,一般,*,*,*,*,ｅｂｂｉ,エッビー,エッビー,0/4,C0
ｏｂｂｉ,-1,-1,501.5,名詞,一般,*,*,*,*,ｏｂｂｉ,オッビー,オッビー,0/4,C0
ｂｂｕａ,-1,-1,502.0,名詞,一般,*,*,*,*,ｂｂｕａ,ッブアー,ッブアー,0/4,C0
ｂｂｕｉ,-1,-1,502.0,名詞,一般,*,*,*,*,ｂｂｕｉ,ッブイー,ッブイー,0/4,C0
ｂｂｕｕ,-1,-1,502.0,名詞,一般,*,*,*,*,ｂｂｕｕ,ッブウー,ッブウー,0/4,C0
ｂｂｕｅ,-1,-1,502.0,名詞,一般,*,*,*,*,ｂｂｕｅ,ッブエー,ッブエー,0/4,C0
ｂｂｕｏ,-1,-1,502.0,名詞,一般,*,*,*,*,ｂｂｕｏ,ッブオー,ッブオー,0/4,C0
ａｂｂｕ,-1,-1,502.5,名詞,一般,*,*,*,*,ａｂｂｕ,アッブー,アッブー,0/4,C0
ｉｂｂｕ,-1,-1,502.5,名詞,一般,*,*,*,*,ｉｂｂｕ,イッブー,イッブー,0/4,C0
ｕｂｂｕ,-1,-1,502.5,名詞,一般,*,*,*,*,ｕｂｂｕ,ウッブー,ウッブー,0/4,C0
ｅｂｂｕ,-1,-1,502.5,名詞,一般,*,*,*,*,ｅｂｂｕ,エッブー,エッブー,0/4,C0
ｏｂｂｕ,-1,-1,502.5,名詞,一般,*,*,*,*,ｏｂｂｕ,オッブー,オッブー,0/4,C0
ｂｂｅａ,-1,-1,503.0,名詞,一般,*,*,*,*,ｂｂｅａ,ッベアー,ッベアー,0/4,C0
ｂｂｅｉ,-1,-1,503.0,名詞,一般,*,*,*,*,ｂｂｅｉ,ッベイー,ッベイー,0/4,C0
ｂｂｅｕ,-1,-1,503.0,名詞,一般,*,*,*,*,ｂｂｅｕ,ッベウー,ッベウー,0/4,C0
ｂｂｅｅ,-1,-1,503.0,名詞,一般,*,*,*,*,ｂｂｅｅ,ッベエー,ッベエー,0/4,C0
ｂｂｅｏ,-1,-1,503.0,名詞,一般,*,*,*,*,ｂｂｅｏ,ッベオー,ッベオー,0/4,C0
ａｂｂｅ,-1,-1,503.5,名詞,一般,*,*,*,*,ａｂｂｅ,アッベー,アッベー,0/4,C0
ｉｂｂｅ,-1,-1,503.5,名詞,一般,*,*,*,*,ｉｂｂｅ,イッベー,イッベー,0/4,C0
ｕｂｂｅ,-1,-1,503.5,名詞,一般,*,*,*,*,ｕｂｂｅ,ウッベー,ウッベー,0/4,C0
ｅｂｂｅ,-1,-1,503.5,名詞,一般,*,*,*,*,ｅｂｂｅ,エッベー,エッベー,0/4,C0
ｏｂｂｅ,-1,-1,503.5,名詞,一般,*,*,*,*,ｏｂｂｅ,オッベー,オッベー,0/4,C0
ｂｂｏａ,-1,-1,504.0,名詞,一般,*,*,*,*,ｂｂｏａ,ッボアー,ッボアー,0/4,C0
ｂｂｏｉ,-1,-1,504.0,名詞,一般,*,*,*,*,ｂｂｏｉ,ッボイー,ッボイー,0/4,C0
ｂｂｏｕ,-1,-1,504.0,名詞,一般,*,*,*,*,ｂｂｏｕ,ッボウー,ッボウー,0/4,C0
ｂｂｏｅ,-1,-1,504.0,名詞,一般,*,*,*,*,ｂｂｏｅ,ッボエー,ッボエー,0/4,C0
ｂｂｏｏ,-1,-1,504.0,名詞,一般,*,*,*,*,ｂｂｏｏ,ッボオー,ッボオー,0/4,C0
ａｂｂｏ,-1,-1,504.5,名詞,一般,*,*,*,*,ａｂｂｏ,アッボー,アッボー,0/4,C0
ｉｂｂｏ,-1,-1,504.5,名詞,一般,*,*,*,*,ｉｂｂｏ,イッボー,イッボー,0/4,C0
ｕｂｂｏ,-1,-1,504.5,名詞,一般,*,*,*,*,ｕｂｂｏ,ウッボー,ウッボー,0/4,C0
ｅｂｂｏ,-1,-1,504.5,名詞,一般,*,*,*,*,ｅｂｂｏ,エッボー,エッボー,0/4,C0
ｏｂｂｏ,-1,-1,504.5,名詞,一般,*,*,*,*,ｏｂｂｏ,オッボー,オッボー,0/4,C0
ｃｃｈａａ,-1,-1,505.0,名詞,一般,*,*,*,*,ｃｃｈａａ,ッチャアー,ッチャアー,0/4,C0
ｃｃｈａｉ,-1,-1,505.0,名詞,一般,*,*,*,*,ｃｃｈａｉ,ッチャイー,ッチャイー,0/4,C0
ｃｃｈａｕ,-1,-1,505.0,名詞,一般,*,*,*,*,ｃｃｈａｕ,ッチャウー,ッチャウー,0/4,C0
ｃｃｈａｅ,-1,-1,505.0,名詞,一般,*,*,*,*,ｃｃｈａｅ,ッチャエー,ッチャエー,0/4,C0
ｃｃｈａｏ,-1,-1,505.0,名詞,一般,*,*,*,*,ｃｃｈａｏ,ッチャオー,ッチャオー,0/4,C0
ａｃｃｈａ,-1,-1,505.5,名詞,一般,*,*,*,*,ａｃｃｈａ,アッチャー,アッチャー,0/4,C0
ｉｃｃｈａ,-1,-1,505.5,名詞,一般,*,*,*,*,ｉｃｃｈａ,イッチャー,イッチャー,0/4,C0
ｕｃｃｈａ,-1,-1,505.5,名詞,一般,*,*,*,*,ｕｃｃｈａ,ウッチャー,ウッチャー,0/4,C0
ｅｃｃｈａ,-1,-1,505.5,名詞,一般,*,*,*,*,ｅｃｃｈａ,エッチャー,エッチャー,0/4,C0
ｏｃｃｈａ,-1,-1,505.5,名詞,一般,*,*,*,*,ｏｃｃｈａ,オッチャー,オッチャー,0/4,C0
ｃｃｈｉａ,-1,-1,506.0,名詞,一般,*,*,*,*,ｃｃｈｉａ,ッチアー,ッチアー,0/4,C0
ｃｃｈｉｉ,-1,-1,506.0,名詞,一般,*,*,*,*,ｃｃｈｉｉ,ッチイー,ッチイー,0/4,C0
ｃｃｈｉｕ,-1,-1,506.0,名詞,一般,*,*,*,*,ｃｃｈｉｕ,ッチウー,ッチウー,0/4,C0
ｃｃｈｉｅ,-1,-1,506.0,名詞,一般,*,*,*,*,ｃｃｈｉｅ,ッチエー,ッチエー,0/4,C0
ｃｃｈｉｏ,-1,-1,506.0,名詞,一般,*,*,*,*,ｃｃｈｉｏ,ッチオー,ッチオー,0/4,C0
ａｃｃｈｉ,-1,-1,506.5,名詞,一般,*,*,*,*,ａｃｃｈｉ,アッチー,アッチー,0/4,C0
ｉｃｃｈｉ,-1,-1,506.5,名詞,一般,*,*,*,*,ｉｃｃｈｉ,イッチー,イッチー,0/4,C0
ｕｃｃｈｉ,-1,-1,506.5,名詞,一般,*,*,*,*,ｕｃｃｈｉ,ウッチー,ウッチー,0/4,C0
ｅｃｃｈｉ,-1,-1,506.5,名詞,一般,*,*,*,*,ｅｃｃｈｉ,エッチー,エッチー,0/4,C0
ｏｃｃｈｉ,-1,-1,506.5,名詞,一般,*,*,*,*,ｏｃｃｈｉ,オッチー,オッチー,0/4,C0
ｃｃｈｕａ,-1,-1,507.0,名詞,一般,*,*,*,*,ｃｃｈｕａ,ッチュアー,ッチュアー,0/4,C0
ｃｃｈｕｉ,-1,-1,507.0,名詞,一般,*,*,*,*,ｃｃｈｕｉ,ッチュイー,ッチュイー,0/4,C0
ｃｃｈｕｕ,-1,-1,507.0,名詞,一般,*,*,*,*,ｃｃｈｕｕ,ッチュウー,ッチュウー,0/4,C0
ｃｃｈｕｅ,-1,-1,507.0,名詞,一般,*,*,*,*,ｃｃｈｕｅ,ッチュエー,ッチュエー,0/4,C0
ｃｃｈｕｏ,-1,-1,507.0,名詞,一般,*,*,*,*,ｃｃｈｕｏ,ッチュオー,ッチュオー,0/4,C0
ａｃｃｈｕ,-1,-1,507.5,名詞,一般,*,*,*,*,ａｃｃｈｕ,アッチュー,アッチュー,0/4,C0
ｉｃｃｈｕ,-1,-1,507.5,名詞,一般,*,*,*,*,ｉｃｃｈｕ,イッチュー,イッチュー,0/4,C0
ｕｃｃｈｕ,-1,-1,507.5,名詞,一般,*,*,*,*,ｕｃｃｈｕ,ウッチュー,ウッチュー,0/4,C0
ｅｃｃｈｕ,-1,-1,507.5,名詞,一般,*,*,*,*,ｅｃｃｈｕ,エッチュー,エッチュー,0/4,C0
ｏｃｃｈｕ,-1,-1,507.5,名詞,一般,*,*,*,*,ｏｃｃｈｕ,オッチュー,オッチュー,0/4,C0
ｃｃｈｅａ,-1,-1,508.0,名詞,一般,*,*,*,*,ｃｃｈｅａ,ッチェアー,ッチェアー,0/4,C0
ｃｃｈｅｉ,-1,-1,508.0,名詞,一般,*,*,*,*,ｃｃｈｅｉ,ッチェイー,ッチェイー,0/4,C0
ｃｃｈｅｕ,-1,-1,508.0,名詞,一般,*,*,*,*,ｃｃｈｅｕ,ッチェウー,ッチェウー,0/4,C0
ｃｃｈｅｅ,-1,-1,508.0,名詞,一般,*,*,*,*,ｃｃｈｅｅ,ッチェエー,ッチェエー,0/4,C0
ｃｃｈｅｏ,-1,-1,508.0,名詞,一般,*,*,*,*,ｃｃｈｅｏ,ッチェオー,ッチェオー,0/4,C0
ａｃｃｈｅ,-1,-1,508.5,名詞,一般,*,*,*,*,ａｃｃｈｅ,アッチェー,アッチェー,0/4,C0
ｉｃｃｈｅ,-1,-1,508.5,名詞,一般,*,*,*,*,ｉｃｃｈｅ,イッチェー,イッチェー,0/4,C0
ｕｃｃｈｅ,-1,-1,508.5,名詞,一般,*,*,*,*,ｕｃｃｈｅ,ウッチェー,ウッチェー,0/4,C0
ｅｃｃｈｅ,-1,-1,508.5,名詞,一般,*,*,*,*,ｅｃｃｈｅ,エッチェー,エッチェー,0/4,C0
ｏｃｃｈｅ,-1,-1,508.5,名詞,一般,*,*,*,*,ｏｃｃｈｅ,オッチェー,オッチェー,0/4,C0
